2026-01-25 18:09:11,180 | INFO | seed=42 deterministic=True
2026-01-25 20:01:58,074 | INFO | [baseline] epoch=7 train_loss=0.5324 val_loss=0.8942
2026-01-25 20:02:53,994 | INFO | [baseline] epoch=8 train_loss=0.5598 val_loss=1.0798
2026-01-25 20:03:49,367 | INFO | [baseline] epoch=9 train_loss=0.3674 val_loss=0.9900
2026-01-25 20:04:46,472 | INFO | [baseline] epoch=10 train_loss=0.3802 val_loss=0.9891
2026-01-25 20:05:43,413 | INFO | d_hat=10 tau_R=5.5212 v=0.8282
2026-01-25 20:05:43,423 | INFO | Training SR-ERM ...
2026-01-27 16:11:40,769 | INFO | seed=42 deterministic=True
2026-01-27 16:11:40,781 | INFO | Using data_root=runs/skin_srerm/data_extracted/SKIN
2026-01-27 16:11:41,032 | INFO | classes=['BENIGN', 'MALIGNANT'] n_train=1608 n_test=176
2026-01-27 16:11:41,033 | INFO | S_-1 split: |train|=1286 |val|=322
2026-01-27 16:11:41,034 | INFO | class_weights=[1.0295490026474, 0.9704510569572449]
2026-01-27 16:11:41,109 | INFO | Training baseline ERM on S_-1 ...
2026-01-27 16:12:34,471 | INFO | [baseline] epoch=1 train_loss=0.7137 val_loss=0.7422
2026-01-27 16:13:27,572 | INFO | [baseline] epoch=2 train_loss=0.9399 val_loss=0.9891
2026-01-27 16:14:25,057 | INFO | [baseline] epoch=3 train_loss=0.6773 val_loss=0.7423
2026-01-27 16:15:21,014 | INFO | [baseline] epoch=4 train_loss=0.7758 val_loss=0.9215
2026-01-27 16:16:15,482 | INFO | [baseline] epoch=5 train_loss=0.7234 val_loss=0.9308
2026-01-27 16:17:08,918 | INFO | [baseline] epoch=6 train_loss=0.6088 val_loss=1.0185
2026-01-27 16:18:02,534 | INFO | [baseline] epoch=7 train_loss=0.5324 val_loss=0.8942
2026-01-27 16:18:54,748 | INFO | [baseline] epoch=8 train_loss=0.5598 val_loss=1.0798
2026-01-27 16:19:47,871 | INFO | [baseline] epoch=9 train_loss=0.3674 val_loss=0.9900
2026-01-27 16:20:41,693 | INFO | [baseline] epoch=10 train_loss=0.3802 val_loss=0.9891
2026-01-27 16:21:38,004 | INFO | d_hat=10 tau_R=5.5212 v=0.8282
2026-01-27 16:21:38,014 | INFO | Training SR-ERM ...
2026-01-27 16:45:16,811 | INFO | seed=42 deterministic=True
2026-01-27 16:45:16,813 | INFO | Using data_root=runs/skin_srerm/data_extracted/SKIN
2026-01-27 16:45:18,222 | INFO | classes=['BENIGN', 'MALIGNANT'] n_train=1608 n_test=176
2026-01-27 16:45:18,223 | INFO | S_-1 split: |train|=1286 |val|=322
2026-01-27 16:45:18,223 | INFO | class_weights=[1.0295490026474, 0.9704510569572449]
2026-01-27 16:45:18,281 | INFO | Training baseline ERM on S_-1 ...
2026-01-27 16:46:02,051 | INFO | [baseline] epoch=1 train_loss=0.7075 val_loss=0.7356
2026-01-27 16:46:45,833 | INFO | [baseline] epoch=2 train_loss=0.7740 val_loss=0.8194
2026-01-27 16:47:30,544 | INFO | [baseline] epoch=3 train_loss=0.6492 val_loss=0.7059
2026-01-27 16:48:28,661 | INFO | d_hat=10 tau_R=6.1488 v=0.9223
2026-01-27 16:48:28,681 | INFO | Training SR-ERM ...
2026-01-27 16:53:43,641 | INFO | [srerm] run=1/1 best_gamma_train=-0.0674 gamma_val=0.2440 val_losses={-1:0.729 0:0.914 1:0.950 2:0.831 3:0.864 4:0.873 5:0.917 6:0.561 7:0.661 8:0.854 9:0.724 10:0.900}
2026-01-27 16:54:11,783 | INFO | Done. Outputs written to runs\skin_srerm
2026-01-27 17:22:14,760 | INFO | seed=42 deterministic=True
2026-01-27 17:22:14,762 | INFO | Using data_root=runs/skin_srerm/data_extracted/SKIN
2026-01-27 17:22:16,662 | INFO | classes=['BENIGN', 'MALIGNANT'] n_train=1608 n_test=176
2026-01-27 17:22:16,675 | INFO | S_-1 split: |train|=1286 |val|=322
2026-01-27 17:22:16,676 | INFO | class_weights=[1.0295490026474, 0.9704510569572449]
2026-01-27 17:22:16,726 | INFO | Training baseline ERM on S_-1 ...
2026-01-27 17:22:59,096 | INFO | [baseline] epoch=1 train_loss=0.7075 val_loss=0.7356
2026-01-27 17:23:38,329 | INFO | [baseline] epoch=2 train_loss=0.7740 val_loss=0.8194
2026-01-27 17:24:17,817 | INFO | [baseline] epoch=3 train_loss=0.6492 val_loss=0.7059
2026-01-27 17:25:17,096 | INFO | d_hat=10 tau_R=6.1488 v=0.9223
2026-01-27 17:25:17,123 | INFO | Training SR-ERM ...
2026-01-27 17:30:13,474 | INFO | [srerm] run=1/10 best_gamma_train=-0.0674 gamma_val=0.2440 val_losses={-1:0.729 0:0.914 1:0.950 2:0.831 3:0.864 4:0.873 5:0.917 6:0.561 7:0.661 8:0.854 9:0.724 10:0.900}
2026-01-27 17:35:11,872 | INFO | [srerm] run=2/10 best_gamma_train=-0.0442 gamma_val=0.2324 val_losses={-1:0.723 0:0.918 1:0.938 2:0.828 3:0.858 4:0.872 5:0.906 6:0.557 7:0.668 8:0.859 9:0.735 10:0.911}
2026-01-27 17:40:17,456 | INFO | [srerm] run=3/10 best_gamma_train=-0.0726 gamma_val=0.0943 val_losses={-1:0.630 0:0.785 1:0.800 2:0.703 3:0.714 4:0.746 5:0.766 6:0.503 7:0.565 8:0.745 9:0.632 10:0.774}
2026-01-27 17:45:43,913 | INFO | [srerm] run=4/10 best_gamma_train=-0.0419 gamma_val=0.2240 val_losses={-1:0.718 0:0.909 1:0.930 2:0.822 3:0.847 4:0.864 5:0.896 6:0.555 7:0.662 8:0.851 9:0.732 10:0.903}
2026-01-27 17:51:00,932 | INFO | [srerm] run=5/10 best_gamma_train=-0.0179 gamma_val=0.2369 val_losses={-1:0.723 0:0.921 1:0.943 2:0.827 3:0.859 4:0.874 5:0.908 6:0.557 7:0.667 8:0.862 9:0.741 10:0.915}
2026-01-27 17:56:13,205 | INFO | [srerm] run=6/10 best_gamma_train=-0.0849 gamma_val=0.0813 val_losses={-1:0.646 0:0.779 1:0.787 2:0.705 3:0.709 4:0.727 5:0.769 6:0.517 7:0.556 8:0.739 9:0.614 10:0.773}
2026-01-27 18:01:44,956 | INFO | [srerm] run=7/10 best_gamma_train=-0.0719 gamma_val=0.2272 val_losses={-1:0.718 0:0.909 1:0.933 2:0.821 3:0.852 4:0.862 5:0.900 6:0.557 7:0.662 8:0.855 9:0.736 10:0.906}
2026-01-27 18:07:00,525 | INFO | [srerm] run=8/10 best_gamma_train=-0.1677 gamma_val=0.2365 val_losses={-1:0.705 0:0.881 1:0.942 2:0.803 3:0.820 4:0.839 5:0.882 6:0.567 7:0.627 8:0.830 9:0.715 10:0.912}
2026-01-27 18:12:16,396 | INFO | [srerm] run=9/10 best_gamma_train=-0.0868 gamma_val=0.2732 val_losses={-1:0.759 0:0.934 1:0.979 2:0.872 3:0.905 4:0.894 5:0.945 6:0.577 7:0.686 8:0.867 9:0.736 10:0.932}
2026-01-27 18:17:52,671 | INFO | [srerm] run=10/10 best_gamma_train=-0.0343 gamma_val=0.2375 val_losses={-1:0.726 0:0.920 1:0.943 2:0.831 3:0.857 4:0.878 5:0.910 6:0.558 7:0.670 8:0.866 9:0.741 10:0.917}
2026-01-27 18:18:23,683 | INFO | Done. Outputs written to runs\skin_srerm
2026-01-27 18:35:39,577 | INFO | seed=42 deterministic=True
2026-01-27 18:35:39,579 | INFO | Extracting SKIN.zip -> runs\skin_srerm\data_extracted
2026-01-27 18:35:49,086 | INFO | Using data_root=runs/skin_srerm/data_extracted/SKIN
2026-01-27 18:35:50,862 | INFO | classes=['BENIGN', 'MALIGNANT'] n_train=7562 n_test=17646
2026-01-27 18:35:50,876 | INFO | S_-1 split: |train|=6050 |val|=1512
2026-01-27 18:35:50,877 | INFO | class_weights=[0.9788429141044617, 1.0211570262908936]
2026-01-27 18:35:50,973 | INFO | Training baseline ERM on S_-1 ...
2026-01-27 18:37:01,699 | INFO | [baseline] epoch=1 train_loss=0.5114 val_loss=0.5367
2026-01-27 18:37:54,419 | INFO | [baseline] epoch=2 train_loss=0.3923 val_loss=0.4402
2026-01-27 18:38:47,821 | INFO | [baseline] epoch=3 train_loss=0.3417 val_loss=0.4309
2026-01-27 18:41:29,334 | INFO | seed=42 deterministic=True
2026-01-27 18:41:29,335 | INFO | Using data_root=runs/skin_srerm/data_extracted/SKIN
2026-01-27 18:41:30,731 | INFO | classes=['BENIGN', 'MALIGNANT'] n_train=7562 n_test=17646
2026-01-27 18:41:30,737 | INFO | S_-1 split: |train|=6050 |val|=1512
2026-01-27 18:41:30,738 | INFO | class_weights=[0.9788429141044617, 1.0211570262908936]
2026-01-27 18:41:30,791 | INFO | Training baseline ERM on S_-1 ...
2026-01-27 18:42:30,157 | INFO | [baseline] epoch=1 train_loss=0.5114 val_loss=0.5367
2026-01-27 18:43:27,764 | INFO | [baseline] epoch=2 train_loss=0.3923 val_loss=0.4402
2026-01-27 18:44:25,024 | INFO | [baseline] epoch=3 train_loss=0.3417 val_loss=0.4309
2026-01-27 18:45:36,384 | INFO | d_hat=5 tau_R=6.1153 v=2.4339
2026-01-27 18:45:36,421 | INFO | Training SR-ERM ...
2026-01-27 19:14:03,740 | INFO | [srerm] run=1/5 best_gamma_train=-0.0077 gamma_val=0.1329 val_losses={-1:0.417 0:0.521 1:0.391 2:0.344 3:0.482 4:0.564 5:0.501}
2026-01-27 19:53:52,461 | INFO | [srerm] run=2/5 best_gamma_train=-0.0113 gamma_val=0.1320 val_losses={-1:0.443 0:0.508 1:0.413 2:0.332 3:0.384 4:0.563 5:0.471}
2026-01-27 20:25:49,488 | INFO | [srerm] run=3/5 best_gamma_train=-0.0007 gamma_val=0.0804 val_losses={-1:0.407 0:0.511 1:0.385 2:0.385 3:0.473 4:0.456 5:0.480}
2026-01-27 21:02:55,346 | INFO | [srerm] run=4/5 best_gamma_train=-0.0042 gamma_val=0.1330 val_losses={-1:0.418 0:0.564 1:0.317 2:0.404 3:0.462 4:0.460 5:0.417}
2026-01-27 21:37:06,365 | INFO | [srerm] run=5/5 best_gamma_train=-0.0271 gamma_val=0.2422 val_losses={-1:0.478 0:0.529 1:0.445 2:0.377 3:0.527 4:0.673 5:0.593}
2026-01-27 21:38:46,126 | INFO | Done. Outputs written to runs\skin_srerm
2026-01-27 23:18:28,011 | INFO | seed=0 deterministic=True
2026-01-27 23:18:28,014 | INFO | Extracting SKIN.zip -> runs\skin_srerm\data_extracted
2026-01-27 23:18:37,012 | INFO | Using data_root=runs/skin_srerm/data_extracted/SKIN
2026-01-27 23:18:38,508 | INFO | classes=['BENIGN', 'MALIGNANT'] n_train=8021 n_test=17187
2026-01-27 23:18:38,516 | INFO | S_-1 split: |train|=6417 |val|=1604
2026-01-27 23:18:38,517 | INFO | class_weights=[1.0687237977981567, 0.9312763810157776]
2026-01-27 23:18:38,567 | INFO | Training baseline ERM on S_-1 ...
2026-01-27 23:19:48,917 | INFO | [baseline] epoch=1 train_loss=0.5489 val_loss=0.5858
2026-01-27 23:20:54,399 | INFO | d_hat=10 tau_R=6.2651 v=1.2468
2026-01-27 23:20:54,427 | INFO | Training SR-ERM ...
2026-01-27 23:30:43,088 | INFO | [srerm] run=1/1 best_gamma_train=-0.0106 gamma_val=-0.0836 val_losses={-1:0.468 0:0.450 1:0.419 2:0.429 3:0.476 4:0.413 5:0.459 6:0.502 7:0.484 8:0.469 9:0.431 10:0.444}
2026-01-27 23:32:51,217 | INFO | Done. Outputs written to runs\skin_srerm
